+----------------------------+------------+---------+------------+----------+
| team_name                  | ts         | ts_rank | pra        | pra_rank |
| Morgan State               |  -0.251621 |     228 |   -3.05705 |      220 |
| Texas-Arlington            |  -0.124898 |     193 |   -3.08521 |      221 |
| Evansville                 |  -0.183692 |     205 |     -3.254 |      222 |
| Dartmouth                  |  -0.543549 |     268 |   -3.26003 |      223 |
| Northern Colorado          |  -0.235291 |     222 |   -3.30566 |      224 |
| Arkansas-Little Rock       |  -0.107634 |     189 |   -3.31012 |      225 |
| VMI                        |   0.215358 |     126 |   -3.47419 |      226 |
| Texas A&M-Corpus Christi   |  -0.197665 |     210 |    -3.4755 |      227 |
| Cal State Bakersfield      |  -0.545015 |     269 |   -3.62592 |      228 |
| Texas Southern             |   -0.18348 |     204 |   -3.65952 |      229 |
| Southeast Missouri State   |  -0.230455 |     220 |   -3.80912 |      230 |
| Florida International      |  -0.198071 |     211 |   -3.89708 |      231 |
| Charleston Southern        |  -0.646695 |     284 |   -3.90262 |      232 |
| East Carolina              |  -0.258532 |     230 |   -3.98958 |      233 |
| Eastern Washington         |  -0.395473 |     255 |   -4.03065 |      234 |
| Western Carolina           |  -0.244757 |     226 |   -4.03184 |      235 |
| North Carolina-Asheville   |  -0.234218 |     221 |   -4.06023 |      236 |
| Coastal Carolina           |  -0.191092 |     208 |   -4.14672 |      237 |
| Winthrop                   |  -0.127934 |     195 |   -4.16218 |      238 |
| Grand Canyon               |  -0.183759 |     206 |   -4.24417 |      239 |
| Lafayette                  |  -0.547687 |     270 |   -4.30006 |      240 |
| Troy                       |  -0.613223 |     279 |   -4.31078 |      241 |
| Gardner-Webb               |  -0.268283 |     233 |   -4.31824 |      242 |
| Norfolk State              |   -0.23891 |     224 |   -4.43024 |      243 |
| East Tennessee State       |  -0.212218 |     217 |   -4.44973 |      244 |
| Louisiana-Monroe           |  -0.338962 |     247 |   -4.45871 |      245 |
| South Dakota               |    -0.3611 |     252 |   -4.55817 |      246 |
| Air Force                  |  -0.375373 |     253 |   -4.56623 |      247 |
| Loyola (IL)                |  -0.626156 |     280 |   -4.58297 |      248 |
| Seattle                    |  -0.518312 |     266 |   -4.58578 |      249 |
| Cal State Fullerton        |  -0.578613 |     273 |   -4.59391 |      250 |
| Idaho                      |  -0.318143 |     240 |   -4.61765 |      251 |
| North Dakota               |   -0.27164 |     235 |   -4.63913 |      252 |
| Lehigh                     |  -0.355002 |     250 |   -4.72379 |      253 |
| Marshall                   |  -0.661821 |     287 |   -5.14669 |      254 |
| North Texas                |  -0.165685 |     200 |   -5.15211 |      255 |
| Idaho State                |  -0.743874 |     300 |   -5.17836 |      256 |
| Florida Atlantic           |  -0.670843 |     289 |   -5.19873 |      257 |
| James Madison              |  -0.342685 |     248 |   -5.24601 |      258 |
| High Point                 |  -0.175959 |     202 |   -5.27506 |      259 |
| Hofstra                    |  -0.613055 |     278 |   -5.30284 |      260 |
| Sacramento State           |  -0.560899 |     271 |   -5.32324 |      261 |
| Northern Arizona           |   -0.40599 |     257 |   -5.33419 |      262 |
| Fairfield                  |  -0.755968 |     303 |   -5.35094 |      263 |
| Portland State             |   -0.43214 |     258 |   -5.40828 |      264 |
| Radford                    |  -0.176249 |     203 |   -5.42109 |      265 |
| Monmouth                   |  -0.604305 |     277 |   -5.46674 |      266 |
